Level 1 Term,Level 2,FDA Code,Definition
Patient Device Interaction Problem,,4001,Problem related to the interaction between the patient and the device.
,Patient-Device Incompatibility,2682,Problem associated with the interaction between the patient's physiology or anatomy and the device that affects the patient and/or the device.
,Biocompatibility,2886,Problem associated with undesirable local or systemic effects due to exposure to medical device materials or leachates from those materials by a patient who has an implant or is receiving treatment with a device made from them.
,Device Appears to Trigger Rejection,1524,"The device appears to elicit undesired response in the patient to the presence of an implanted or invasive device, without inherent device failure, e.g. fibrous encapsulation, or inflammation of the tissue around the device, or extrusion of the device."
,Inadequacy of Device Shape and/or Size,1583,The physical size and/or shape of the device was inadequate with regard to the patient's anatomy.
,Osseointegration Problem,3003,Problem associated with interconnection between the bone tissue and the implanted device.
,Failure to Osseointegrate,1863,Problem associated with the failure to see direct anchorage of an implant by the formation of bony tissue around the implant without the growth of fibrous tissue at the bone-implant interface.
,Loss of Osseointegration,2408,Problem associated with weakened integration of the device at the bone-implant interface due to loss of fibrous and/or bony tissue and leading to compromised anchorage of the device. i.e. Loosening/Lysis
,Loosening of Implant Not Related to Bone-Ingrowth,4002,Problem associated with the loss of direct anchorage of an implanted device over time or due to an injury.
,Migration or Expulsion of Device,1395,"Problem with an implanted or invasive device moving within the body, or being completely expelled from the body."
,Expulsion,2933,Problem with all or part of an implanted or invasive device being completely expelled from its intended location within the body.
,Migration,4003,Problem with all or part of an implanted or invasive device moving from its intended location within the body.
,Lack of Effect,4065,Problems associated with a product having less efficacy than expected. No other malfunctions could be identified.
,Device Stenosis,4066,"Problem associated with the narrowing or obstruction of the device (e.g. prosthetic heart valves, stents, etc.)."
,Implant subsidence,4078,"Problem related to the settling or collapse of bone adjacent to an implanted device, in direction of the loading force."
"Manufacturing, Packaging or Shipping Problem",,2975,"Problem associated with any deviations from the documented specifications of the device that relate to nonconformity during manufacture to the design of an item or to specified manufacturing, packaging or shipping processes (out of box problem)."
,Product Quality Problem,1506,Problem associated with an inherent device characteristic that is not satisfactory as specified or delivered.
,"Dull, Blunt",2407,Problem associated with a device not being as sharp as intended or expected.
,Nonstandard Device,1420,"Problem associated with the device that does not meet the specifications or requirements for which it was manufactured (e.g. materials, parts, manufacturing process)."
,Defective Component,2292,Problem associated with a device component having flaws of dimensional deviations greater than acceptable for the intended use.
,Defective Device,2588,Problem associated with having flaws or dimensional deviations greater than acceptable for the intended use of the device.
,Device Damaged Prior to Use,2284,Problem associated with packaging or shipping damage prior to the use of the device.
,Packaging Problem,3007,Problem associated with the materials used to construct the cover or outer wrapping of the device.
,Difficult to Open or Remove Packaging Material,2922,"Problem associated with difficulty for users to operate the device, specifically as it relates to the opening or removal of the outer wrapping."
,Incomplete or Missing Packaging,2312,Problem associated with the nonconformance to the device specifications due to incomplete or missing packaging that may compromise the device operation as intended.
,Unsealed Device Packaging,1444,Problem associated with the loss of packaging seal.
,"Tear, Rip or Hole in Device Packaging",2385,"Problem associated with packaging damage (tear, rip or hole) prior to the use of the device."
,Device packaging look-alike,4079,Problem associated with medical device packaging that  looks similar to another product leading to confusion. The other product may be another device or a different product such as a medicine or cleaning agent.  Use A210107 for Device label look-alike.
,Device Misassembled During Manufacturing /Shipping,2912,A device found incorrectly assembled when delivered to the user facility.
,Component Misassembled,4004,A device found to have one or more components incorrectly assembled when delivered to the user facility. This includes cases in which components are interchanged.
,Component Missing,2306,A device component(s) found to be missing when delivered to the user facility.
,Extra Components,4067,More than the usual number of components present/additional components from this or other devices.
